web_scraper_order,web_scraper_start_url,pagination-selector,title,description,price,image
"1768763245-1","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Leffe Ruby - 33cl","Leffe Ruby

Brasserie : AB Inbev

Volume : 33cl

Taux d'alcool : 5%

Couleur : Amber","€2,72","https://cdn.webshopapp.com/shops/65337/files/423160254/325x375x2/leffe-ruby-33cl.jpg"
"1768763245-2","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Floris Cactus 33Cl","Floris Cactus 33Cl 

Brewery : Huyghe

Volume : 33Cl 

Alcohol : 4.2% 

Fermentation : Top Fermentation

Colour : Green","€3,22","https://cdn.webshopapp.com/shops/65337/files/472040939/325x375x2/floris-cactus-33cl.jpg"
"1768763245-3","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Allgäuer Brauhaus Buble Edelweissbier 50Cl","Allgäuer Brauhaus Buble Edelweissbier 50Cl 

Brewery : Allgäuer Brauhaus

Volume : 50Cl 

Alcohol : 5.3% 

Fermentation : Top Feremtation

Colour : Blonde","€2,21","https://cdn.webshopapp.com/shops/65337/files/406511791/325x375x2/allgaeuer-brauhaus-buble-edelweissbier-50cl.jpg"
"1768763245-4","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Maes 25Cl","Maes 25Cl

Brewery : Alken-Maes

Volume : 25Cl

Alcohol : 5.2%

Fermentation : Low Fermentation

Colour : Blond","€1,23","https://cdn.webshopapp.com/shops/65337/files/475603235/325x375x2/maes-25cl.jpg"
"1768763245-5","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Orval Trappist 33Cl","Orval 33Cl 

Brewery : Orval Brewery

Volume : 33Cl 

Alcohol : 6.2% 

Fermentation : Top Fermentation

Colour : Amber","€3,30","https://cdn.webshopapp.com/shops/65337/files/423152189/325x375x2/orval-trappist-33cl.jpg"
"1768763245-6","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Oerbier - 33cl","OerbierÂ 

Brasserie : Dolle Brouwers

Volume : 33cl

Taux d'alcool : 9%

Couleur : Blonde","€3,60","https://cdn.webshopapp.com/shops/65337/files/67924494/325x375x2/oerbier-33cl.jpg"
"1768763245-7","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Paix Dieu Triple - 33cl","Paix Dieu Triple

Brasserie : Caulier

Volume : 33cl

Taux d'alcool : 10%

Couleur : Blonde","€4,06","https://cdn.webshopapp.com/shops/65337/files/423162962/325x375x2/paix-dieu-triple-33cl.jpg"
"1768763245-8","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Belle Vue Kriek Extra - 25cl","Belle Vue Kriek Extra 

Brasserie : Belle Vue

Volume : 25cl

Taux d'alcool : 4.3%

Couleur : Amber","€2,16","https://cdn.webshopapp.com/shops/65337/files/451872599/325x375x2/belle-vue-kriek-extra-25cl.jpg"
"1768763245-9","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Boerken - 33cl","Boerken 

Brasserie : Den Ouden Advocaat

Volume : 33cl

Taux d'alcool : 9.5%

Couleur : Brune","€3,51","https://cdn.webshopapp.com/shops/65337/files/451873884/325x375x2/boerken-33cl.jpg"
"1768763245-10","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Jupiler 33Cl","Jupiler 33Cl

Brewery : Ab Inbev

Volumen : 33Cl

Alcohol : 5.2%

Fermentation : Low Fermentation

Colour : Blond","€1,64","https://cdn.webshopapp.com/shops/65337/files/475603270/325x375x2/jupiler-33cl.jpg"
"1768763245-11","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Karmeliet Tripel 33cl","Karmeliet 33Cl 

Brewery : Bosteels Brewery

Volume : 33Cl 

Alcohol : 8.4% 

Fermentation : Top Fermentation

Colour : Blond","€2,81","https://cdn.webshopapp.com/shops/65337/files/423153059/325x375x2/karmeliet-tripel-33cl.jpg"
"1768763245-12","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Hoegaarden Rosee - 25cl","Hoegaarden Rosee

Brasserie : Hoegaarden

Volume : 25cl

Taux d'alcool : 3%

Couleur : Amber","€2,00","https://cdn.webshopapp.com/shops/65337/files/423680976/325x375x2/hoegaarden-rosee-25cl.jpg"
"1768763245-13","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Grimbergen Dubbel 33Cl","Grimbergen Double

Brewery : Grimbergen - Alken Maes

Volume : 33Cl 

Alcohol: 6.5%

Fermentation : Top Fermentation

Colour : Brown","€2,51","https://cdn.webshopapp.com/shops/65337/files/423675902/325x375x2/grimbergen-dubbel-33cl.jpg"
"1768763245-14","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Stella Artois 33Cl","Stella Artois 33Cl 

Brewery : Ab Inbev

Volume : 33Cl 

Alcohol : 5.2% 

Fermentation : Low Fermentation 

Colour : Blond","€1,69","https://cdn.webshopapp.com/shops/65337/files/471747096/325x375x2/stella-artois-33cl.jpg"
"1768763245-15","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Bourgogne Des Flandres Blonden Os - 33cl","Bourgogne Des Flandres Blonden Os

Brasserie : John Martin

Volume : 33Cl

Taux d'alcool : 6.5%

Couleur : Blond","€2,58","https://cdn.webshopapp.com/shops/65337/files/422630131/325x375x2/bourgogne-des-flandres-blonden-os-33cl.jpg"
"1768763245-16","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Leffe Blonde - 33cl","Brasserie : Ab-Inbev

Volume : 33cl

Taux d'alcool : 6.6%

Couleur : Blonde","€2,49","https://cdn.webshopapp.com/shops/65337/files/423164544/325x375x2/leffe-blonde-33cl.jpg"
"1768763245-17","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Westmalle Triple - 33cl","Westmalle Triple 

Brasserie : Westmalle

Volume : 33cl

Taux d'alcool : 9.5%

Couleur : Blonde","€2,65","https://cdn.webshopapp.com/shops/65337/files/423158538/325x375x2/westmalle-triple-33cl.jpg"
"1768763245-18","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Lupulus Blonde - 75cl","Lupulus Blonde 

Brasserie : Les 3 Fourquets

Volume : 75cl

Taux d'alcool : 8.5%

Couleur : Blonde","€6,14","https://cdn.webshopapp.com/shops/65337/files/451915369/325x375x2/lupulus-blonde-75cl.jpg"
"1768763245-19","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Trappistes Rochefort 10 - 33cl","Trappistes Rochefort 10

Brasserie : St Remy

Volume : 33cl

Taux d'alcool : 11.3%

Couleur : Brune","€3,73","https://cdn.webshopapp.com/shops/65337/files/423606003/325x375x2/trappistes-rochefort-10-33cl.jpg"
"1768763245-20","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Maes 0.0% 25Cl","Maes 0.0% 25Cl 

Brewery : Alken Maes

Volume : 25Cl 

Alcohol : 0% 

Fermentation : Low Fermentation

Colour : Blond","€1,54","https://cdn.webshopapp.com/shops/65337/files/422606449/325x375x2/maes-00-25cl.jpg"
"1768763245-21","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Palm 25Cl","Palm 25Cl

Brewery : Palm Breweries

Volume : 25Cl

Alcohol : 5.2%

Fermentation : Top Fermentation

Colour : Amber","€1,53","https://cdn.webshopapp.com/shops/65337/files/475862979/325x375x2/palm-25cl.jpg"
"1768763245-22","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Lindemans Kriek - 25cl","Lindemans Kriek

Brasserie : Lindemans

Volume : 25cl

Taux d'alcool : 3.5%

Couleur : Amber","€2,09","https://cdn.webshopapp.com/shops/65337/files/423164980/325x375x2/lindemans-kriek-25cl.jpg"
"1768763245-23","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Maes 33Cl","Maes 33Cl

Brewery : Alken-Maes

Volume : 33Cl

Alcohol : 5.2% 

Fermentation : Low Fermentation

Colour : Blond","€1,54","https://cdn.webshopapp.com/shops/65337/files/475603252/325x375x2/maes-33cl.jpg"
"1768763245-24","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Petrus Red - 33cl","Petrus Red

Brasserie : Bavik

Volume : 33cl

Taux d'alcool : 8.5%

Couleur : Amber","€2,75","https://cdn.webshopapp.com/shops/65337/files/423688100/325x375x2/petrus-red-33cl.jpg"
"1768763245-25","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Leffe 9 Rituel - 33cl","Leffe 9 Rituel  

Brasserie : Leffe

Volume : 33cl

Taux d'alcool : 9%

Couleur : Blonde","€2,98","https://cdn.webshopapp.com/shops/65337/files/423669969/325x375x2/leffe-9-rituel-33cl.jpg"
"1768763245-26","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Het Ij Ijwit 33Cl","Het Ij Ijwit 33Cl 

Brewery : Het Ij 

Volume : 33Cl 

Alcohol : 6.5% 

Fermentation : Top Fermentation 

Colour : White","€3,75","https://cdn.webshopapp.com/shops/65337/files/476301197/325x375x2/het-ij-ijwit-33cl.jpg"
"1768763245-27","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Kasteel Barista Chocolate Quad - 33cl","Kasteel Barista Chocolate Quad

Brasserie : Van Honsebrouck

Volume : 33cl

Taux d'alcool : 11%

Couleur : Brune","€3,30","https://cdn.webshopapp.com/shops/65337/files/451962782/325x375x2/kasteel-barista-chocolate-quad-33cl.jpg"
"1768763245-28","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Westmalle Trappist Double - 33cl","Westmalle Trappist Double

Brasserie : Westmalle 

Volume : 33cl

Taux d'alcool : 7%

Couleur : Brune","€2,09","https://cdn.webshopapp.com/shops/65337/files/423670689/325x375x2/westmalle-trappist-double-33cl.jpg"
"1768763245-29","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Fourchette - 33cl","Fourchette - 33cl","€3,25","https://cdn.webshopapp.com/shops/65337/files/451827477/325x375x2/fourchette-33cl.jpg"
"1768763245-30","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Cornet Blond Oaked Tripel 33Cl","Cornet Blond Oaked 33Cl 

Brewery : Palm Breweries

Volume : 33Cl 

Alcohol : 8.5% 

Fermentation : Top Fermentation

Colour : Blond","€2,64","https://cdn.webshopapp.com/shops/65337/files/423160836/325x375x2/cornet-blond-oaked-tripel-33cl.jpg"
"1768763245-31","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Duchesse de Bourgogne - 25cl","Duchesse de Bourgogne

Brasserie : Verhaeghe Vichte

Volume : 25cl

Taux d'alcool : 5.2%

Couleur : Amber brune","€2,47","https://cdn.webshopapp.com/shops/65337/files/452013483/325x375x2/duchesse-de-bourgogne-25cl.jpg"
"1768763245-32","https://www.belgianbeerfactory.com/fr/biere-belge/?limit=72&max=7&mode=list","","Petrus Blonde - 33cl","Petrus Blonde

Brasserie : Bavik

Volume : 33cl

Taux d'alcool : 6.6%

Couleur : Blonde","€2,35","https://cdn.webshopapp.com/shops/65337/files/467128379/325x375x2/petrus-blonde-33cl.jpg"
